trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
38,False,"{'a': 0.01, 'e': 0.9286646355765102}",20,0,-65.94377013467906,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
39,False,"{'a': 0.01, 'e': 0.9249090598573131}",25,0,-66.99175856798449,"{0: 15, 1: 5, 2: 4, 3: 1, 4: 0}",0
40,False,"{'a': 0.01, 'e': 0.9210609940028851}",20,0,-201.82050861661116,"{0: 12, 1: 0, 2: 2, 3: 2, 4: 4}",0
41,False,"{'a': 0.01, 'e': 0.9171208228166051}",25,0,-180.83949479545763,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
42,False,"{'a': 0.01, 'e': 0.9130889403123083}",25,0,-80.96199909285481,"{0: 17, 1: 5, 2: 1, 3: 1, 4: 1}",0
43,False,"{'a': 0.01, 'e': 0.9089657496748851}",20,0,-124.42896606532068,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
44,False,"{'a': 0.01, 'e': 0.9047516632199634}",20,0,-174.00057510742832,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
45,False,"{'a': 0.01, 'e': 0.9004471023526769}",25,0,-194.85179555014244,"{0: 10, 1: 5, 2: 6, 3: 2, 4: 2}",0
46,False,"{'a': 0.01, 'e': 0.8960524975255252}",30,0,-131.48089890745698,"{0: 17, 1: 4, 2: 7, 3: 1, 4: 1}",0
47,False,"{'a': 0.01, 'e': 0.891568288195329}",25,0,-140.83216588325968,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
48,False,"{'a': 0.01, 'e': 0.8869949227792842}",20,0,-88.80374423718287,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
49,False,"{'a': 0.01, 'e': 0.8823328586101215}",20,0,-43.767737248894,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
50,False,"{'a': 0.01, 'e': 0.8775825618903728}",20,0,-21.077174531874906,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
51,False,"{'a': 0.01, 'e': 0.8727445076457513}",35,9,-85.24829866417971,"{0: 14, 1: 5, 2: 6, 3: 1, 4: 0}",1
52,False,"{'a': 0.01, 'e': 0.8678191796776499}",25,0,-134.15780504172284,"{0: 14, 1: 6, 2: 2, 3: 1, 4: 2}",0
53,False,"{'a': 0.01, 'e': 0.862807070514761}",25,0,-85.6200588450874,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
54,False,"{'a': 0.01, 'e': 0.8577086813638242}",35,0,-162.35074393130606,"{0: 22, 1: 4, 2: 5, 3: 2, 4: 2}",0
55,False,"{'a': 0.01, 'e': 0.8525245220595057}",20,0,-120.90583913222497,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
56,False,"{'a': 0.01, 'e': 0.8472551110134161}",25,0,-143.21480257775593,"{0: 14, 1: 3, 2: 4, 3: 3, 4: 1}",0
57,False,"{'a': 0.01, 'e': 0.8419009751622687}",30,0,-189.78425047124696,"{0: 16, 1: 5, 2: 5, 3: 1, 4: 3}",0
58,False,"{'a': 0.01, 'e': 0.8364626499151869}",20,0,-52.44458391391474,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
